date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:57:39	55096/55096	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Feb%202024%2001:50:28%20GMT	https://demo.awaikenthemes.com/html-preview/zorvixa/html/index.html	C:/My%20Web%20Sites/pagina3/demo.awaikenthemes.com/html-preview/zorvixa/html/index.html	(from )
04:57:39	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Apr%202024%2008:57:08%20GMT	https://demo.awaikenthemes.com/robots.txt		(from )
04:57:40	1828/1828	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Feb%202024%2017:46:32%20GMT	https://demo.awaikenthemes.com/html-preview/zorvixa/html/images/favicon.png	C:/My%20Web%20Sites/pagina3/demo.awaikenthemes.com/html-preview/zorvixa/html/images/favicon.png	(from https://demo.awaikenthemes.com/html-preview/zorvixa/html/index.html)
04:57:41	2505/2505	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Sep%202016%2006:18:44%20GMT	https://demo.awaikenthemes.com/html-preview/zorvixa/html/css/slicknav.min.css	C:/My%20Web%20Sites/pagina3/demo.awaikenthemes.com/html-preview/zorvixa/html/css/slicknav.min.css	(from https://demo.awaikenthemes.com/html-preview/zorvixa/html/index.html)
04:57:41	18449/18449	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Dec%202023%2022:04:14%20GMT	https://demo.awaikenthemes.com/html-preview/zorvixa/html/css/swiper-bundle.min.css	C:/My%20Web%20Sites/pagina3/demo.awaikenthemes.com/html-preview/zorvixa/html/css/swiper-bundle.min.css	(from https://demo.awaikenthemes.com/html-preview/zorvixa/html/index.html)
04:57:42	232948/232948	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Sep%202023%2002:40:44%20GMT	https://demo.awaikenthemes.com/html-preview/zorvixa/html/css/bootstrap.min.css	C:/My%20Web%20Sites/pagina3/demo.awaikenthemes.com/html-preview/zorvixa/html/css/bootstrap.min.css	(from https://demo.awaikenthemes.com/html-preview/zorvixa/html/index.html)
04:57:43	6951/6951	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Feb%202022%2005:50:42%20GMT	https://demo.awaikenthemes.com/html-preview/zorvixa/html/css/magnific-popup.css	C:/My%20Web%20Sites/pagina3/demo.awaikenthemes.com/html-preview/zorvixa/html/css/magnific-popup.css	(from https://demo.awaikenthemes.com/html-preview/zorvixa/html/index.html)
04:57:43	76809/76809	---M--	200	added ('OK')	text/css	date:Sat,%2022%20Jul%202023%2018:49:44%20GMT	https://demo.awaikenthemes.com/html-preview/zorvixa/html/css/animate.css	C:/My%20Web%20Sites/pagina3/demo.awaikenthemes.com/html-preview/zorvixa/html/css/animate.css	(from https://demo.awaikenthemes.com/html-preview/zorvixa/html/index.html)
04:57:43	102025/102025	---M--	200	added ('OK')	text/css	date:Fri,%2024%20Mar%202023%2003:16:26%20GMT	https://demo.awaikenthemes.com/html-preview/zorvixa/html/css/all.min.css	C:/My%20Web%20Sites/pagina3/demo.awaikenthemes.com/html-preview/zorvixa/html/css/all.min.css	(from https://demo.awaikenthemes.com/html-preview/zorvixa/html/index.html)
04:57:44	1752/1752	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Feb%202024%2017:37:32%20GMT	https://demo.awaikenthemes.com/html-preview/zorvixa/html/images/loader.svg	C:/My%20Web%20Sites/pagina3/demo.awaikenthemes.com/html-preview/zorvixa/html/images/loader.svg	(from https://demo.awaikenthemes.com/html-preview/zorvixa/html/index.html)
